policy_id,month,age,tenure_m,premium,coverage,region,has_agent,is_smoker,dependents,post_event_payment_holiday,lapse_next_3m,_event_month_index
1,2022-08,60,80,58.42,9300.88,C,1,1,0,0,0,0
1,2022-09,60,81,59.28,9612.37,C,1,1,0,0,0,0
1,2022-10,60,82,59.97,9881.44,C,1,1,0,0,0,0
1,2022-11,60,83,58.74,9533.57,C,1,1,0,0,0,0
1,2022-12,60,84,58.38,9464.17,C,1,1,0,0,0,0
1,2023-01,60,85,58.46,9536.65,C,1,1,0,0,0,0
1,2023-02,60,86,58.43,9563.74,C,1,1,0,0,0,0
1,2023-03,60,87,57.2,9190.97,C,1,1,0,0,0,0
1,2023-04,60,88,61.91,9605.9,C,1,1,0,0,0,0
1,2023-05,60,89,61.25,9412.54,C,1,1,0,0,0,0
1,2023-06,60,90,61.56,9511.16,C,1,1,0,0,0,0
1,2023-07,60,91,61.73,9555.61,C,1,1,0,0,0,0
2,2022-08,73,125,54.28,8551.67,C,0,1,1,0,0,0
2,2022-09,73,126,54.27,8580.64,C,0,1,1,0,0,0
2,2022-10,73,127,54.72,8766.8,C,0,1,1,0,0,0
2,2022-11,73,128,56.07,9250.52,C,0,1,1,0,0,0
2,2022-12,73,129,55.12,8986.54,C,0,1,1,0,0,0
2,2023-01,73,130,54.69,8891.14,C,0,1,1,0,0,0
2,2023-02,73,131,53.44,8517.27,C,0,1,1,0,0,0
2,2023-03,73,132,55.06,9075.1,C,0,1,1,0,0,0
2,2023-04,73,133,57.73,8897.61,C,0,1,1,0,0,0
2,2023-05,73,134,56.89,8649.31,C,0,1,1,0,0,0
2,2023-06,73,135,57.23,8754.16,C,0,1,1,0,0,0
2,2023-07,73,136,57.81,8927.2,C,0,1,1,0,0,0
3,2022-08,50,91,181.72,25237.89,D,0,1,0,0,0,0
3,2022-09,50,92,182.63,25590.14,D,0,1,0,0,0,0
3,2022-10,50,93,180.2,25031.46,D,0,1,0,0,0,0
3,2022-11,50,94,179.09,24849.23,D,0,1,0,0,0,0
3,2022-12,50,95,185.75,26848.07,D,0,1,0,0,0,0
3,2023-01,50,96,181.22,25694.72,D,0,1,0,0,0,0
3,2023-02,50,97,180.78,25673.11,D,0,1,0,0,0,0
3,2023-03,50,98,178.47,25102.74,D,0,1,0,0,0,0
3,2023-04,50,99,194.52,26578.62,D,0,1,0,0,0,0
3,2023-05,50,100,186.65,24510.98,D,0,1,0,0,0,0
3,2023-06,50,101,186.57,24494.89,D,0,1,0,0,0,0
3,2023-07,50,102,187.78,24800.68,D,0,1,0,0,0,0
4,2022-08,36,20,160.64,29208.94,C,1,0,0,0,0,0
4,2022-09,36,21,162.72,30078.27,C,1,0,0,0,0,0
4,2022-10,36,22,159.7,29118.32,C,1,0,0,0,0,0
4,2022-11,36,23,159.58,29222.38,C,1,0,0,0,0,0
4,2022-12,36,24,160.1,29563.75,C,1,0,0,0,0,0
4,2023-01,36,25,160.75,29943.11,C,1,0,0,0,0,0
4,2023-02,36,26,156.86,28623.35,C,1,0,0,0,0,0
4,2023-03,36,27,157.53,28965.2,C,1,0,0,0,0,0
4,2023-04,36,28,164.16,28041.52,C,1,0,0,0,0,0
4,2023-05,36,29,167.74,29321.68,C,1,0,0,0,0,0
4,2023-06,36,30,166.97,29060.31,C,1,0,0,0,0,0
4,2023-07,36,31,166.33,28819.26,C,1,0,0,0,0,0
5,2022-08,64,46,153.1,25058.23,B,0,0,1,0,0,0
5,2022-09,64,47,153.8,25386.27,B,0,0,1,0,0,0
5,2022-10,64,48,154.86,25857.33,B,0,0,1,0,0,0
5,2022-11,64,49,151.31,24810.16,B,0,0,1,0,0,0
5,2022-12,64,50,152.05,25183.82,B,0,0,1,0,0,0
5,2023-01,64,51,152.64,25501.36,B,0,0,1,0,0,0
5,2023-02,64,52,151.58,25248.67,B,0,0,1,0,0,0
5,2023-03,64,53,153.96,26122.23,B,0,0,1,0,0,0
5,2023-04,64,54,162.08,25823.91,B,0,0,1,0,0,0
5,2023-05,64,55,159.75,25118.26,B,0,0,1,0,0,0
5,2023-06,64,56,159.24,24963.62,B,0,0,1,0,0,0
5,2023-07,64,57,158.19,24617.42,B,0,0,1,0,0,0
6,2022-08,29,100,311.76,51062.53,B,0,0,1,0,0,0
6,2022-09,29,101,318.07,53338.91,B,0,0,1,0,0,0
6,2022-10,29,102,309.21,50661.18,B,0,0,1,0,0,0
6,2022-11,29,103,311.33,51625.83,B,0,0,1,0,0,0
6,2022-12,29,104,308.43,50922.58,B,0,0,1,0,0,0
6,2023-01,29,105,307.18,50749.77,B,0,0,1,0,0,0
6,2023-02,29,106,312.53,52744.39,B,0,0,1,0,0,0
6,2023-03,29,107,309.14,51772.99,B,0,0,1,0,0,0
6,2023-04,29,108,327.12,51702.5,B,0,0,1,0,0,0
6,2023-05,29,109,320.87,49791.47,B,0,0,1,0,0,0
6,2023-06,29,110,331.32,53088.45,B,0,0,1,0,0,0
6,2023-07,29,111,328.76,52249.27,B,0,0,1,0,0,0
7,2022-08,42,83,154.24,24240.03,D,1,0,2,0,0,0
7,2022-09,42,84,152.93,23921.58,D,1,0,2,0,0,0
7,2022-10,42,85,153.33,24162.42,D,1,0,2,0,0,0
7,2022-11,42,86,151.57,23727.46,D,1,0,2,0,0,0
7,2022-12,42,87,152.89,24270.0,D,1,0,2,0,0,0
7,2023-01,42,88,151.41,23913.94,D,1,0,2,0,0,0
7,2023-02,42,89,151.99,24195.64,D,1,0,2,0,0,0
7,2023-03,42,90,153.0,24593.9,D,1,0,2,0,0,0
7,2023-04,42,91,159.04,23698.45,D,1,0,2,0,0,0
7,2023-05,42,92,159.37,23826.21,D,1,0,2,0,0,0
7,2023-06,42,93,156.76,23046.76,D,1,0,2,0,0,0
7,2023-07,42,94,158.46,23543.94,D,1,0,2,0,0,0
8,2022-08,60,5,127.67,22192.16,A,0,0,1,1,1,-1
8,2022-09,60,6,126.42,21844.64,A,0,0,1,0,0,1
8,2022-10,60,7,127.97,22488.56,A,0,0,1,0,0,1
8,2022-11,60,8,127.67,22498.46,A,0,0,1,0,0,1
8,2022-12,60,9,124.56,21523.55,A,0,0,1,0,0,1
8,2023-01,60,10,126.52,22311.79,A,0,0,1,0,0,1
8,2023-02,60,11,124.45,21674.85,A,0,0,1,0,0,1
8,2023-03,60,12,124.73,21843.6,A,0,0,1,0,0,1
8,2023-04,60,13,133.99,22477.03,A,0,0,1,0,0,1
8,2023-05,60,14,130.94,21493.42,A,0,0,1,0,0,1
8,2023-06,60,15,129.76,21107.96,A,0,0,1,0,0,1
8,2023-07,60,16,128.94,20823.81,A,0,0,1,0,0,1
9,2022-08,40,146,69.0,10713.07,D,1,0,3,0,0,0
9,2022-09,40,147,69.28,10844.43,D,1,0,3,0,0,0
9,2022-10,40,148,70.14,11164.57,D,1,0,3,0,0,0
9,2022-11,40,149,69.16,10911.1,D,1,0,3,0,0,0
9,2022-12,40,150,69.24,10993.72,D,1,0,3,0,0,0
9,2023-01,40,151,69.16,11020.78,D,1,0,3,0,0,0
9,2023-02,40,152,69.54,11185.55,D,1,0,3,0,0,0
9,2023-03,40,153,68.22,10798.74,D,1,0,3,0,0,0
9,2023-04,40,154,72.32,10824.64,D,1,0,3,0,0,0
9,2023-05,40,155,71.97,10730.95,D,1,0,3,0,0,0
9,2023-06,40,156,72.75,10966.31,D,1,0,3,0,0,0
9,2023-07,40,157,71.91,10708.61,D,1,0,3,0,0,0
10,2022-08,44,130,198.07,31302.8,D,1,0,2,0,0,0
10,2022-09,44,131,195.07,30481.79,D,1,0,2,0,0,0
10,2022-10,44,132,192.09,29686.89,D,1,0,2,0,0,0
10,2022-11,44,133,197.28,31483.44,D,1,0,2,0,0,0
10,2022-12,44,134,192.53,30132.63,D,1,0,2,0,0,0
10,2023-01,44,135,193.91,30716.81,D,1,0,2,0,0,0
10,2023-02,44,136,192.38,30352.77,D,1,0,2,0,0,0
10,2023-03,44,137,194.13,31007.91,D,1,0,2,0,0,0
10,2023-04,44,138,204.27,30621.98,D,1,0,2,0,0,0
10,2023-05,44,139,205.9,31146.37,D,1,0,2,0,0,0
10,2023-06,44,140,202.38,30094.11,D,1,0,2,0,0,0
10,2023-07,44,141,202.74,30181.18,D,1,0,2,0,0,0
11,2022-08,32,0,50.85,8752.22,A,1,0,0,1,1,-1
11,2022-09,32,1,51.09,8869.88,A,1,0,0,0,0,1
11,2022-10,32,2,49.65,8413.84,A,1,0,0,0,0,1
11,2022-11,32,3,51.4,9067.32,A,1,0,0,0,0,1
11,2022-12,32,4,51.33,9088.41,A,1,0,0,0,0,1
11,2023-01,32,5,50.31,8773.24,A,1,0,0,0,0,1
11,2023-02,32,6,50.04,8714.7,A,1,0,0,0,0,1
11,2023-03,32,7,50.21,8799.82,A,1,0,0,0,0,1
11,2023-04,32,8,52.63,8622.28,A,1,0,0,0,0,1
11,2023-05,32,9,52.84,8701.36,A,1,0,0,0,0,1
11,2023-06,32,10,53.46,8908.32,A,1,0,0,0,0,1
11,2023-07,32,11,52.05,8439.55,A,1,0,0,0,0,1
12,2022-08,32,57,299.85,53774.62,C,1,0,1,0,0,0
12,2022-09,32,58,303.48,55305.19,C,1,0,1,0,0,0
12,2022-10,32,59,299.98,54287.65,C,1,0,1,0,0,0
12,2022-11,32,60,300.8,54866.86,C,1,0,1,0,0,0
12,2022-12,32,61,300.4,55003.91,C,1,0,1,0,0,0
12,2023-01,32,62,304.95,56941.48,C,1,0,1,0,0,0
12,2023-02,32,63,299.89,55298.68,C,1,0,1,0,0,0
12,2023-03,32,64,300.0,55510.89,C,1,0,1,0,0,0
12,2023-04,32,65,315.39,54718.77,C,1,0,1,0,0,0
12,2023-05,32,66,312.87,53905.8,C,1,0,1,0,0,0
12,2023-06,32,67,310.65,53144.45,C,1,0,1,0,0,0
12,2023-07,32,68,319.52,56188.54,C,1,0,1,0,0,0
13,2022-08,45,123,196.49,30605.01,D,0,0,0,1,1,-1
13,2022-09,45,124,192.5,29470.46,D,0,0,0,0,0,1
13,2022-10,45,125,194.91,30370.65,D,0,0,0,0,0,1
13,2022-11,45,126,200.14,32183.38,D,0,0,0,0,0,1
13,2022-12,45,127,198.13,31706.03,D,0,0,0,0,0,1
13,2023-01,45,128,194.04,30553.48,D,0,0,0,0,0,1
13,2023-02,45,129,197.66,31830.9,D,0,0,0,0,0,1
13,2023-03,45,130,194.26,30845.21,D,0,0,0,0,0,1
13,2023-04,45,131,206.74,31158.56,D,0,0,0,0,0,1
13,2023-05,45,132,203.44,30202.22,D,0,0,0,0,0,1
13,2023-06,45,133,203.05,30090.96,D,0,0,0,0,0,1
13,2023-07,45,134,202.78,29993.69,D,0,0,0,0,0,1
14,2022-08,74,165,449.66,82314.65,C,0,0,3,0,0,0
14,2022-09,74,166,441.09,79515.86,C,0,0,3,0,0,0
14,2022-10,74,167,442.81,80522.07,C,0,0,3,0,0,0
14,2022-11,74,168,432.65,77211.49,C,0,0,3,0,0,0
14,2022-12,74,169,444.59,82003.29,C,0,0,3,0,0,0
14,2023-01,74,170,441.1,81101.11,C,0,0,3,0,0,0
14,2023-02,74,171,432.17,78134.27,C,0,0,3,0,0,0
14,2023-03,74,172,442.6,82238.98,C,0,0,3,0,0,0
14,2023-04,74,173,459.99,79216.62,C,0,0,3,0,0,0
14,2023-05,74,174,466.66,81630.45,C,0,0,3,0,0,0
14,2023-06,74,175,468.7,82350.8,C,0,0,3,0,0,0
14,2023-07,74,176,459.48,79099.44,C,0,0,3,0,0,0
15,2022-08,57,14,154.97,24218.27,D,0,0,2,0,0,0
15,2022-09,57,15,155.09,24349.74,D,0,0,2,0,0,0
15,2022-10,57,16,153.77,24049.31,D,0,0,2,0,0,0
15,2022-11,57,17,158.09,25542.13,D,0,0,2,0,0,0
15,2022-12,57,18,155.14,24731.63,D,0,0,2,0,0,0
15,2023-01,57,19,152.86,24122.14,D,0,0,2,0,0,0
15,2023-02,57,20,154.64,24789.17,D,0,0,2,0,0,0
15,2023-03,57,21,151.48,23858.33,D,0,0,2,0,0,0
15,2023-04,57,22,165.53,25401.4,D,0,0,2,0,0,0
15,2023-05,57,23,161.47,24207.71,D,0,0,2,0,0,0
15,2023-06,57,24,160.72,23986.41,D,0,0,2,0,0,0
15,2023-07,57,25,162.62,24542.58,D,0,0,2,0,0,0
16,2022-08,61,161,205.36,32610.32,D,1,0,1,0,0,0
16,2022-09,61,162,202.07,31703.21,D,1,0,1,0,0,0
16,2022-10,61,163,199.77,31126.82,D,1,0,1,0,0,0
16,2022-11,61,164,205.22,33012.59,D,1,0,1,0,0,0
16,2022-12,61,165,202.89,32437.65,D,1,0,1,0,0,0
16,2023-01,61,166,198.99,31349.01,D,1,0,1,0,0,0
16,2023-02,61,167,201.85,32388.2,D,1,0,1,0,0,0
16,2023-03,61,168,203.33,32961.07,D,1,0,1,0,0,0
16,2023-04,61,169,214.61,32750.92,D,1,0,1,0,0,0
16,2023-05,61,170,208.16,30847.5,D,1,0,1,0,0,0
16,2023-06,61,171,211.08,31730.83,D,1,0,1,0,0,0
16,2023-07,61,172,208.07,30808.93,D,1,0,1,0,0,0
17,2022-08,45,162,104.58,16888.07,B,0,0,0,0,0,0
17,2022-09,45,163,106.07,17446.23,B,0,0,0,0,0,0
17,2022-10,45,164,106.67,17726.31,B,0,0,0,0,0,0
17,2022-11,45,165,107.1,17957.65,B,0,0,0,0,0,0
17,2022-12,45,166,105.4,17484.75,B,0,0,0,0,0,0
17,2023-01,45,167,105.77,17691.19,B,0,0,0,0,0,0
17,2023-02,45,168,104.8,17438.33,B,0,0,0,0,0,0
17,2023-03,45,169,104.98,17553.01,B,0,0,0,0,0,0
17,2023-04,45,170,110.84,17452.57,B,0,0,0,0,0,0
17,2023-05,45,171,110.17,17258.87,B,0,0,0,0,0,0
17,2023-06,45,172,111.13,17565.16,B,0,0,0,0,0,0
17,2023-07,45,173,111.77,17753.03,B,0,0,0,0,0,0
18,2022-08,24,63,119.61,19659.63,B,1,0,1,1,1,-1
18,2022-09,24,64,118.62,19408.52,B,1,0,1,0,0,1
18,2022-10,24,65,117.29,19059.8,B,1,0,1,0,0,1
18,2022-11,24,66,117.49,19226.62,B,1,0,1,0,0,1
18,2022-12,24,67,118.72,19734.35,B,1,0,1,0,0,1
18,2023-01,24,68,119.66,20139.47,B,1,0,1,0,0,1
18,2023-02,24,69,119.31,20103.32,B,1,0,1,0,0,1
18,2023-03,24,70,118.57,19920.65,B,1,0,1,0,0,1
18,2023-04,24,71,124.73,19660.08,B,1,0,1,0,0,1
18,2023-05,24,72,124.75,19686.88,B,1,0,1,0,0,1
18,2023-06,24,73,123.95,19439.49,B,1,0,1,0,0,1
18,2023-07,24,74,124.54,19612.81,B,1,0,1,0,0,1
19,2022-08,43,24,84.86,11679.24,D,0,1,1,0,0,0
19,2022-09,43,25,86.47,12173.65,D,0,1,1,0,0,0
19,2022-10,43,26,86.39,12207.35,D,0,1,1,0,0,0
19,2022-11,43,27,83.8,11544.24,D,0,1,1,0,0,0
19,2022-12,43,28,84.32,11751.43,D,0,1,1,0,0,0
19,2023-01,43,29,84.89,11967.46,D,0,1,1,0,0,0
19,2023-02,43,30,84.71,11963.15,D,0,1,1,0,0,0
19,2023-03,43,31,84.28,11879.8,D,0,1,1,0,0,0
19,2023-04,43,32,89.11,11844.35,D,0,1,1,0,0,0
19,2023-05,43,33,90.87,12325.86,D,0,1,1,0,0,0
19,2023-06,43,34,89.28,11906.19,D,0,1,1,0,0,0
19,2023-07,43,35,86.99,11290.96,D,0,1,1,0,0,0
20,2022-08,74,23,53.86,9825.54,C,1,0,0,0,0,0
20,2022-09,74,24,54.22,9997.45,C,1,0,0,0,0,0
20,2022-10,74,25,53.93,9937.52,C,1,0,0,0,0,0
20,2022-11,74,26,52.56,9486.24,C,1,0,0,0,0,0
20,2022-12,74,27,53.76,9975.86,C,1,0,0,0,0,0
20,2023-01,74,28,53.26,9836.72,C,1,0,0,0,0,0
20,2023-02,74,29,53.19,9850.18,C,1,0,0,0,0,0
20,2023-03,74,30,52.08,9472.43,C,1,0,0,0,0,0
20,2023-04,74,31,55.76,9686.39,C,1,0,0,0,0,0
20,2023-05,74,32,55.36,9559.05,C,1,0,0,0,0,0
20,2023-06,74,33,55.86,9734.13,C,1,0,0,0,0,0
20,2023-07,74,34,56.71,10021.88,C,1,0,0,0,0,0
21,2022-08,23,11,126.86,21699.19,A,1,0,2,0,0,0
21,2022-09,23,12,128.55,22369.38,A,1,0,2,0,0,0
21,2022-10,23,13,125.72,21493.44,A,1,0,2,0,0,0
21,2022-11,23,14,127.09,22079.08,A,1,0,2,0,0,0
21,2022-12,23,15,128.15,22563.46,A,1,0,2,0,0,0
21,2023-01,23,16,126.94,22246.75,A,1,0,2,0,0,0
21,2023-02,23,17,127.53,22542.73,A,1,0,2,0,0,0
21,2023-03,23,18,128.26,22867.01,A,1,0,2,0,0,0
21,2023-04,23,19,134.17,22324.43,A,1,0,2,0,0,0
21,2023-05,23,20,132.97,21950.53,A,1,0,2,0,0,0
21,2023-06,23,21,132.06,21655.83,A,1,0,2,0,0,0
21,2023-07,23,22,132.09,21652.81,A,1,0,2,0,0,0
22,2022-08,45,17,113.14,19449.55,A,0,0,3,0,0,0
22,2022-09,45,18,115.03,20178.66,A,0,0,3,0,0,0
22,2022-10,45,19,112.53,19404.92,A,0,0,3,0,0,0
22,2022-11,45,20,113.69,19909.62,A,0,0,3,0,0,0
22,2022-12,45,21,111.72,19321.24,A,0,0,3,0,0,0
22,2023-01,45,22,112.82,19800.69,A,0,0,3,0,0,0
22,2023-02,45,23,113.29,20042.34,A,0,0,3,0,0,0
22,2023-03,45,24,113.02,20010.98,A,0,0,3,0,0,0
22,2023-04,45,25,120.77,20372.97,A,0,0,3,0,0,0
22,2023-05,45,26,117.37,19271.46,A,0,0,3,0,0,0
22,2023-06,45,27,117.23,19226.26,A,0,0,3,0,0,0
22,2023-07,45,28,117.81,19406.52,A,0,0,3,0,0,0
23,2022-08,65,14,65.05,11903.03,C,1,0,0,1,1,-1
23,2022-09,65,15,64.64,11800.38,C,1,0,0,0,0,1
23,2022-10,65,16,63.84,11564.34,C,1,0,0,0,0,1
23,2022-11,65,17,64.21,11757.25,C,1,0,0,0,0,1
23,2022-12,65,18,64.03,11751.62,C,1,0,0,0,0,1
23,2023-01,65,19,63.6,11648.15,C,1,0,0,0,0,1
23,2023-02,65,20,63.18,11542.92,C,1,0,0,0,0,1
23,2023-03,65,21,63.55,11714.65,C,1,0,0,0,0,1
23,2023-04,65,22,67.0,11615.17,C,1,0,0,0,0,1
23,2023-05,65,23,68.59,12178.89,C,1,0,0,0,0,1
23,2023-06,65,24,68.31,12084.85,C,1,0,0,0,0,1
23,2023-07,65,25,67.21,11694.15,C,1,0,0,0,0,1
24,2022-08,51,26,82.27,12996.7,D,1,0,1,0,0,0
24,2022-09,51,27,82.53,13129.46,D,1,0,1,0,0,0
24,2022-10,51,28,81.44,12847.34,D,1,0,1,0,0,0
24,2022-11,51,29,81.61,12966.37,D,1,0,1,0,0,0
24,2022-12,51,30,82.03,13166.39,D,1,0,1,0,0,0
24,2023-01,51,31,78.95,12244.6,D,1,0,1,0,0,0
24,2023-02,51,32,81.76,13193.8,D,1,0,1,0,0,0
24,2023-03,51,33,80.54,12843.88,D,1,0,1,0,0,0
24,2023-04,51,34,86.17,13112.9,D,1,0,1,0,0,0
24,2023-05,51,35,83.74,12395.75,D,1,0,1,0,0,0
24,2023-06,51,36,83.68,12379.57,D,1,0,1,0,0,0
24,2023-07,51,37,84.71,12681.47,D,1,0,1,0,0,0
25,2022-08,59,71,148.06,20678.59,D,1,1,1,0,0,0
25,2022-09,59,72,146.45,20309.96,D,1,1,1,0,0,0
25,2022-10,59,73,146.06,20296.52,D,1,1,1,0,0,0
25,2022-11,59,74,144.44,19948.19,D,1,1,1,0,0,0
25,2022-12,59,75,148.55,21206.4,D,1,1,1,0,0,0
25,2023-01,59,76,147.57,21028.33,D,1,1,1,0,0,0
25,2023-02,59,77,144.83,20338.21,D,1,1,1,0,0,0
25,2023-03,59,78,145.77,20668.97,D,1,1,1,0,0,0
25,2023-04,59,79,152.97,20301.76,D,1,1,1,0,0,0
25,2023-05,59,80,149.67,19446.21,D,1,1,1,0,0,0
25,2023-06,59,81,152.18,20117.24,D,1,1,1,0,0,0
25,2023-07,59,82,155.3,20930.83,D,1,1,1,0,0,0
26,2022-08,23,59,64.35,11747.64,C,1,0,3,0,0,0
26,2022-09,23,60,63.82,11601.94,C,1,0,3,0,0,0
26,2022-10,23,61,64.05,11739.65,C,1,0,3,0,0,0
26,2022-11,23,62,65.08,12176.24,C,1,0,3,0,0,0
26,2022-12,23,63,62.91,11439.63,C,1,0,3,0,0,0
26,2023-01,23,64,62.84,11470.19,C,1,0,3,0,0,0
26,2023-02,23,65,63.55,11776.99,C,1,0,3,0,0,0
26,2023-03,23,66,62.31,11356.0,C,1,0,3,0,0,0
26,2023-04,23,67,68.34,12179.33,C,1,0,3,0,0,0
26,2023-05,23,68,66.05,11394.34,C,1,0,3,0,0,0
26,2023-06,23,69,67.13,11772.74,C,1,0,3,0,0,0
26,2023-07,23,70,67.86,12018.92,C,1,0,3,0,0,0
27,2022-08,42,173,159.69,24744.86,A,1,1,3,0,0,0
27,2022-09,42,174,159.16,24679.05,A,1,1,3,0,0,0
27,2022-10,42,175,156.74,24052.4,A,1,1,3,0,0,0
27,2022-11,42,176,156.03,23955.48,A,1,1,3,0,0,0
27,2022-12,42,177,156.11,24104.43,A,1,1,3,0,0,0
27,2023-01,42,178,156.97,24483.94,A,1,1,3,0,0,0
27,2023-02,42,179,156.6,24466.2,A,1,1,3,0,0,0
27,2023-03,42,180,155.0,24046.82,A,1,1,3,0,0,0
27,2023-04,42,181,164.72,24221.12,A,1,1,3,0,0,0
27,2023-05,42,182,165.83,24570.57,A,1,1,3,0,0,0
27,2023-06,42,183,161.7,23367.96,A,1,1,3,0,0,0
27,2023-07,42,184,163.96,24012.65,A,1,1,3,0,0,0
28,2022-08,54,144,81.15,11783.8,B,1,1,0,0,0,0
28,2022-09,54,145,81.87,12041.21,B,1,1,0,0,0,0
28,2022-10,54,146,81.33,11937.84,B,1,1,0,0,0,0
28,2022-11,54,147,82.08,12220.37,B,1,1,0,0,0,0
28,2022-12,54,148,80.3,11756.84,B,1,1,0,0,0,0
28,2023-01,54,149,79.62,11613.6,B,1,1,0,0,0,0
28,2023-02,54,150,81.42,12191.6,B,1,1,0,0,0,0
28,2023-03,54,151,81.67,12303.01,B,1,1,0,0,0,0
28,2023-04,54,152,84.6,11778.71,B,1,1,0,0,0,0
28,2023-05,54,153,84.91,11879.59,B,1,1,0,0,0,0
28,2023-06,54,154,85.26,11978.31,B,1,1,0,0,0,0
28,2023-07,54,155,85.28,11975.94,B,1,1,0,0,0,0
29,2022-08,33,92,145.08,22691.73,D,1,0,1,0,0,0
29,2022-09,33,93,145.08,22778.33,D,1,0,1,0,0,0
29,2022-10,33,94,145.38,22983.42,D,1,0,1,0,0,0
29,2022-11,33,95,144.94,22961.31,D,1,0,1,0,0,0
29,2022-12,33,96,143.67,22673.26,D,1,0,1,0,0,0
29,2023-01,33,97,147.16,23892.17,D,1,0,1,0,0,0
29,2023-02,33,98,145.04,23309.76,D,1,0,1,0,0,0
29,2023-03,33,99,143.05,22746.85,D,1,0,1,0,0,0
29,2023-04,33,100,151.57,22777.58,D,1,0,1,0,0,0
29,2023-05,33,101,152.85,23188.61,D,1,0,1,0,0,0
29,2023-06,33,102,149.91,22307.13,D,1,0,1,0,0,0
29,2023-07,33,103,150.84,22573.7,D,1,0,1,0,0,0
30,2022-08,43,52,64.85,11082.43,A,1,0,0,0,0,0
30,2022-09,43,53,65.13,11222.21,A,1,0,0,0,0,0
30,2022-10,43,54,65.27,11324.03,A,1,0,0,0,0,0
30,2022-11,43,55,65.62,11502.82,A,1,0,0,0,0,0
30,2022-12,43,56,64.59,11204.6,A,1,0,0,0,0,0
30,2023-01,43,57,65.86,11699.98,A,1,0,0,0,0,0
30,2023-02,43,58,64.33,11211.32,A,1,0,0,0,0,0
30,2023-03,43,59,65.3,11587.57,A,1,0,0,0,0,0
30,2023-04,43,60,67.08,10902.24,A,1,0,0,0,0,0
30,2023-05,43,61,68.41,11355.77,A,1,0,0,0,0,0
30,2023-06,43,62,68.39,11349.79,A,1,0,0,0,0,0
30,2023-07,43,63,67.04,10899.5,A,1,0,0,0,0,0
31,2022-08,65,7,69.54,11533.99,B,0,0,0,0,0,0
31,2022-09,65,8,69.02,11407.59,B,0,0,0,0,0,0
31,2022-10,65,9,69.18,11515.2,B,0,0,0,0,0,0
31,2022-11,65,10,67.38,10976.62,B,0,0,0,0,0,0
31,2022-12,65,11,68.92,11544.62,B,0,0,0,0,0,0
31,2023-01,65,12,68.48,11452.32,B,0,0,0,0,0,0
31,2023-02,65,13,68.63,11548.68,B,0,0,0,0,0,0
31,2023-03,65,14,67.8,11305.86,B,0,0,0,0,0,0
31,2023-04,65,15,72.86,11644.78,B,0,0,0,0,0,0
31,2023-05,65,16,70.78,11001.63,B,0,0,0,0,0,0
31,2023-06,65,17,71.92,11362.69,B,0,0,0,0,0,0
31,2023-07,65,18,71.83,11327.67,B,0,0,0,0,0,0
32,2022-08,46,78,35.65,6138.01,A,1,0,1,0,0,0
32,2022-09,46,79,36.04,6298.33,A,1,0,1,0,0,0
32,2022-10,46,80,35.71,6211.11,A,1,0,1,0,0,0
32,2022-11,46,81,35.85,6292.55,A,1,0,1,0,0,0
32,2022-12,46,82,35.42,6174.03,A,1,0,1,0,0,0
32,2023-01,46,83,34.88,6015.67,A,1,0,1,0,0,0
32,2023-02,46,84,36.21,6506.87,A,1,0,1,0,0,0
32,2023-03,46,85,35.72,6351.82,A,1,0,1,0,0,0
32,2023-04,46,86,37.04,6094.06,A,1,0,1,0,0,0
32,2023-05,46,87,36.63,5966.54,A,1,0,1,0,0,0
